,hasil
78, biasa pindah ibu kota negara menggadaikan rakyat dengan utang yg menumpuk itu yg biadab namanya pak
79,wajib tahu kelebihan dan kekurangan ibu kota baru yang jadi pindah ke kalimantan timur 
80,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
81, kalo ibu kota pindah ke kalimantan terus bangunan bekas pemerintahan yg ada di jakarta gimana nasib nya serius tanya 
82, dia samakan pindah ibu kota dengan pemilu jd tiap abis pemilu ibu kota dipindah digilir kali yah tiap provinsi kebayang itu duit boleh ngutang kenyang buang bang
83,cuiiihh ngomongin efektivitas dan pemborosan soal pindah ibu kota yg triliunan aja ga dbilang boros mbak camara nya ini bikin geleng geleng kepala 
84,beda lah om waktu itu yg bicara kan pak sedangkan ide pindah ibu kota kan yg bicara pak eh sama ya orangnya kok bisa ya itu orang emang amnesia bego atau kita yg emang dikerjain 
85, beda lah om waktu itu yg bicara kan pak sedangkan ide pindah ibu kota kan yg bicara pak eh sama ya orangnya kok bisa ya itu orang emang amnesia bego atau kita yg emang dikerjain 
86,bpjs kesehatan dan pindah ibu kota 
87,apa urgensinya pindah ibu kota dengarkan pendapat pak ahok nih 
88, kan ibu kota mau pindah mbek jd ntar yg macet di kalimantan 
89, berarti nnti jalurnya otomatis pindah tadz ke ibu kota baru d
90, kenapa ibu kota pindah jakarta sdh terlalu banyak problem yg rumit dan sdh tdk layak sbg pusat pemerintahan disamping sbg kota bisnis juga ibu kota negara shg menjadi kota terpadat dan tersibuk yg sangat mengganggu aktivitas pemerintahan 
91,sebaiknya memenuhi harapan para pns asn utk pensiun dini mereka tdk layak makan uang rakyat lg krn mereka egois bukan abdi negara yg membela kepentingan negara persen pns tolak ibu kota pindah ke kalimantan 
92, calon ibu kota adalah kaltim terletak di kab kutai kartanegara kerajaan tertua di indonesia sudah ada dari abad ke pindah ke kalimantan adalah awal yg baik untuk memuali sejarah baru untuk indonesia
93, iya rental aja pindah ibukota juga nhotrak aja karena usul bang ibu kota bisa pindah setiap lima tahun sekali dan gak lerlu bangun gedung gedung baru cukup ngontrak atw bergabung di rumah penduduk mantabe
94, namanya sejarah yg sudah tercatat di buku tetap jadi sejarah nanti sejarah pindah ibu kota juga tetap ada sebagai conzoh kerajaan majaphit saja sdh enggak ada lagi tapi sejarah majapahit masih tercatat sampai detik ini 
95, persen pns tolak ibu kota pindah ke kalimantan 
96,kementerian pupr tengah menyiapkan konsep untuk hunian bagi asn hingga prajurit tni dan polri di ibu kota baru di pulau kalimantan 
97, aneh jaman skg negara lg miskin mau pindah ibu kota pencitraan kelas wahid 
98, persen pns tolak ibu kota pindah ke kalimantan 
99, bpjs saja masih tanda tanya kayak gitu kok katanya mau pindah ibu kota negara 
100,isu terbaru seperti tagar bubarkan banser hanyalah satu dari sekian banyak bentuk pengalihan isu bahwa ada isu yg lebih esensial seperti bpjs premi pindah ibu kota dan berbagai isu penting lainnya kita terbiasa latah dan kurang mampu membaca peta gerakan yang ada 
101,ibu kota sebelum pindah keras lu ngatain miskin orang cari kos baru dah 
102, baru tauu yaa klo dia emang slengean ehh serampangan daripada pindah ibu kota mending ajj lebih bermanfaat klo 
103, giliran pindah ibu kota yg borosnya minta ampun mingkem
104, pindah ibu kota dgn anggaran dana hampir te te toet apa itu penghematan nyong 
105, pindah ibu kota bukan pemborosan nalar gue cetek ya 
106,peneliti belanda sebut indonesia tak perlu pindah ibu kota vivanews 
107, mending urusin esemka aja dulu itu janji awal di antara seabrek janji kagak jelas realisasi lainnya ngurusin pindah mah ribet takutnya terakhir ibu kota indonesia pindah ke negara negara rakus akibat kitanya ketinggian keinginan hingga numpukin hutang 
108,gpp ibu kota pindah yang penting hatimu jangan pindah 
109, sebelum ibu kota pindah kita harus silaturahmi ke ibu kota yok 
110,alasan ibu kota pindah ke kalimantan bosan dengan hukum negara dan beralih ke hukum adat sudah bosan naik lift jadi pengen coba masuk hutan n naik naik pohon atau mungkin sudah bosan melihat manusia bersifat seperti monyet jadi pengen liat mon
111,ibu kota pindah bagaimana implikasinya secara hukum 
112,ibu kota pindah ke kalimantan yauda gausa mikirin mantan 
113,waw pro kontra pemindahan ibukota negara ke kalimantan terus muncul apa sikap pemerintahan ketika hampir seluruh menolak co 
114, blum pindah ibu kota kok kayak kekurangan oxygen prof hehe 
115,pns pindah ke ibu kota baru negara di kalimantan dapat rumah via 
116,ibu kota mau pindah wsbp sudah bangun plant di kaltim 
117,mau pindah ibu kota ribet amat tinggal pindah aje elah ribet lu pada
118, bpjs suntikan dari pemerintah aja kurang lahh ini mau pindah ibu kota itu gimana tong ceritanya 
119,peneliti belanda sebut indonesia tak perlu pindah ibu kota vivanews 
120, sejahtera kan rakyat indonesia itu jauh lebih penting dr pindah ibu kota negara
121, apa ahok gak setuju pindah ibu kota kira kalau doi setuju gak ya 
122, selain indonesia negara ini lebih dulu pindah ibu kota 
123, persen pns tolak ibu kota pindah ke kalimantan 
124, dipikirnya kali pindah ibu kota itu ibarat kita punya anak banyak trus ketika gede tiap bulan kita datangin anak yg sulung bulan ini bulan depan adiknya trus aja gitu sampai si bungsu
125,dalam sekejap ekonomi rakyat hancur oleh jokowi dalam sekejap pula papua gaduh akibat ulah ormas baret hijau papua minta lepas dari nkri sementara maruf amin jokowi sibuk pindah ibu kota 
126,bikin rpjp rpjm mudah kali yaa kok seenaknya main pindah ibu kota atur ulang rpjp dong ribet lagi dong susah ya atur negara makannya elu jan banyak bacott
127, persen pns tolak ibu kota pindah ke kalimantan 
128, saya asli kalimantan mas dan tidak sependapat dengan anda tugas negara setiap kita lah yg memberantas ilegal logging gak ada yg bisa menjamin kalau ibu kota pindah di kalimantan maka ilegal logging dengan mudah teratasi 
129, seperti tanda tanda kalau engga diizinin tuhan untuk pindah ibu kota 
130, hallo mau pindah ibu kota duitnya dr mana mau naikin tarif bpjs ya bapake president bancakan beli mobil baru 
131,uangnya abis pake beli mobil dinas baru menteri pake pindah ibu kota korupsi jalan jalan pejabat 
132,ibu kota pindah untuk kepentingan siapa 
133, mentang mentangg ibu kota pindah bekasi gamasuk list
134,pemerintah dingatkan hati hati pindahkan ibu kota negara ibu kota negar 
135,terlepas dr tujuan postingan ini yg nampaknya mau membully cmiiw tp argumen pak ahok ttg wacana pindah ibu kota oleh presiden sby saat itu menurut gue bener dan ide bikin train loop yg menghubungkan kota satelit jkt bs jd opsi mengatasi kemacetan 
136,pindah ibu kota bukan solusi pak
137, jangan percaya jakarta ibu kota aja akhirnya pindah dari jakarta hahahaha
138,ibu kota mo pindah kira kira monas di pindahin gak yaa 
139,pindah rumah aja riweuh apalagi pindah ibu kota ye kan 
140,merauke bebas gempa ibu kota pindah merauke saja gimana 
141,sjw grin pis menolak pindah ibu kota
142,kepada sudah ada hasil survey jadi ini masukan untuk mempensiunkan dini mreka sebelum ibu kota negara pindah skalian diganti dgn asn pns yg handal 
143,ada yg berteriak ingin pembangunan merata tapi saat ibu kota akan di pindah malah mencak mencak marah marah ga jelas pohon bakan ditebang hutan di gunduli memang pusat pemerintahan mau dibangun di dlm hutan bukan di kotanya 
144, pemindahan ibu kota tak semudah yg di bayangkan yg kerja pindah keluarga harus pindah anak sekolah pindah kk ktp bpkb buku tabungan harus diurus pindah nyari tempat tinggal baru dan biaya transportasi untuk pindah besar kl usia sdh tua mending mengundurkan diri 
145, kalau alasan pemerintah ibu kota itu tidak rawan gempa cocok deh di papua bagian selatan hehe tokyo aja sangat rawan gempa tapi tidak pindah ibu kota cc 
146, ibu kota pindah kalteng
147,pindah ibu kota tak menjamin kalimantan bakal sejahtera 
148, anjing ingusan ibu kota pusat pemerintahan harus pindah dari kesemrawutan dan hiruk pikuk kemacetan yg menggangu aktifitas biarkan jakarta kembali menjadi pusat perdagangan bandar jakarta
149,pindah ibu kota dan bola salju 
150, ya udah kalian semua yang ga suka ibu kota pindah mengajukan pensiun dini aja membuka banyak kesempatan bagi orang untuk menjadi pns ya kan 
151,singkat padat dan jelas tentang pindah ibu kota yuk simak pendapat pakar berikut ini rakyat kita masih susah jadi jangan karena ada masalah menghindari masalah berapa ratus triryun ya itu masalah baru lagi 
152, tentu ibu kota oke saja tapi yang pertama ini dulu tak elok kita ribut pindah ibu kota sementara papua masih bergejolak ini dulu harus diselesaikan pemerintah kata zulkifli di kompleks parlemen 
153,mu pindah ibu kota apa munlari dari masalah rakyat masih miskin kaya gini 
154, nah betul mau ibu kota ga pindah juga banyak perusahaan yg merusak hutan karna apa karna pengawasan dan penindakan yg kurang justru kalo ibu kota pindah akan lebih diperketat pengawasan mengenai hutan 
155,apakah lumpuhnya kegiatan ekonomi di jakarta saat pemilu kemarin bukan alasan kuat untuk pindah ke ibu kota baru rugi milyaran loh mbok yo kalo menelisik suatu masalah itu dilihat dari berbagai sudut sama nya gitu loh jangan dikit nyinyir keliatan begonya sayang 
156, tolak pindah ibu kota pns yg berakal sehat tapi mereka ga keberatan 
157, pindah sini jadi anak ibu kota sama tante
158,pindah ibu kota negara buat apaa berapa bbnyak lagi dana yg akan d keluarkan trs gmna hutang apa kurang bnyak 
159, mending uangnya di pakai untuk membantu petani peternak nelayan pendidikan dan kesehatan pindah ibu kota coman cari legacy doank
160, buruk amat nasib tuh orang mau pindah ibu kota langsung dijawab ame gempa terlalu sombong 
161, mau pin di ganti kuningan gak akan bisa bantu hutang kesenjangan pengangguran btw junjungan mau pindah ibu kota kga ikut ikut bilang pemborosan itu t lebih loh sist klo dikasih ke menteri pembangunan daerah tertinggal se nkri bisa kena dampak baiknya loh sist 
162,untuk pindah ibu kota kira kira bpjs listrik bensin tol naik ngak ya 
163, persen pns tolak ibu kota pindah ke kalimantan 
164,yang aku pikirin pertama kali ketika pembahasan haruskah ibu kota pindah nanti di seluruh dunia harus disoialisasiin kalo jakarta bukan lg ibukota indonesia ngurusin atlas yg pusatnya di jkt jdi kalimantan i can t tell more how these so unthinkable 
165,prof emil salim dan prof didik j rachbini keputusan pindah ibu kota serampangan serta keliru besar ini segelintir orang saja yg memutuskan lalu mengambil kesimpulan dan lapor presiden layak dipindah 
166, yg ngomong esemkah dan pindah ibu kota orangnya itu jg 
167, ibu kota harus pindah 
168,ibu kota boleh lah pindah ke kalimantan kalo kamu jangan lah pindah lagi ke hati mantan
169,peneliti belanda sebut indonesia tak perlu pindah ibu kota 
170,emang solusi pemerataan pembangunan cuma dengan cara pindah ibu kota aja ya gak ada cara lain gua lebih konsen masalah pembukaan lahannya itu loh serius issue climate change mau dikesampingkan kadang hal kontradiktif gini yg bikin sakit kepala untung cuma rakyat biasa 
171,wajib tahu kelebihan dan kekurangan ibu kota baru yang jadi pindah ke kalimantan timur 
172, bani togog mau mindahin ibu kota roman nya mau lari dari janji palsunya yg sampai saat ini jauh dari realita kamu lupa ya sby saja yg thn menjabat ri tak mampu seleseikan hambalang apalagi masjoko ga punya duit so an pindah ibu kota dari hasil ngutang mau bayar pake apa 
173,status istana kepresidenan jakarta tidak disewakan tetap istana spt istana bogor cipanas tampaksiring kalau pindah akan dibangun istana di ibukota baru istana lama tetap jadi istana 
174, kalo tongkrongan anak kalimantan gmn min ibu kota kan pindah 
175, tenang tenang sebentar lagi ibu kota pindah
176, woy nyinyireus ibu kota jadi pindah ngga si serius nanya teh makannya apa biar anak perempuan sy bisa pinter kaya teteh 
177,kalo ibu kota pindah jakarta ntik e jadi hutan yo gak sih
178, pindah ibu kota itu cuma iseng om boneka lagi stres kas negara kosong biasa kelakoan tukang meubel om ngibul menjadi asbun 
179,status istana kepresidenan jakarta tidak disewakan tetap istana spt istana bogor cipanas tampaksiring kalau pindah akan dibangun istana di ibu kota baru istana lama tetap jadi istana 
180,ayooo setuju percepat pindah ibu kota gertak kok sambelnterasi otak dongo yang mau pensiun dini kebetulan banyak yg berguna selain kalian wahai para asn 
181, implikasi ketatanegaraan versi dosen up jika ibu kota pindah nasional 
182,ketua mpr sarankan pemerintah tunda bahas pindah ibu kota 
183, gagalkan tidak butuh pindah ibu kota 
184,kalo ibukota pindah ke kalimantan berarti mantannya kali nyesel sudah ninggalin si kali yang bentar lagi dipinang sama si kota dan si kota mau ngenalin ibu nya ke si kali
185,kalo prof emil salim udah komen begini berarti ada yg salah dalam proses ini 
186,ga pande urus negara masak beralasan pindah ibu kota ga gentleman kata orang medan
187,cianjur jakarta via puncak one way jam hanya orang goblok yg menolak ibu kota pindah
188, berul berdasarkan tim ahli lbh baik menyelesaikan mslh dijakarta drpd pindah ibu kota
189,alhamdulillah lebih cepat lebih baik 
190,kontribusi lu buat negara apaan gw kaga sombong sih gw kalau liburan apa lg kalau malem minggu dirumah aja mengurangi kemacetan lah tkut beneran ibu kota pindah kan kasian basa lu gw jadi bahasa anak kampung besok 
191, dari pada pindah ibu kota lebih baik buka dob daerah otonomi baru jumlah provinsi genapin jadi angka keramat hehe dan buat sistem seperti dki semua yaitu cuma gub yg dipilih langsung bupati dan walikota ditunjuk gub insyaallah lebih efisien dan indonesia pasti maju 
192, masih mikir dan kaget aja sih aku ibu kota pindah jauh ke kalimantan
193,hi guys akan membahas ada apa dengan jakarta gimana ya reaksinya marlo marco soal ibu kota pindah ke kalimantan ada jg none favorite jakarta selatan luna shabrina yg masuk di tonton keseruannya hari minggu pukul wib 
194,ibu kota pindah ke kalimantan kemana perginya orang utan 
195, tapi kayanya aga sedih deh klo ibu kota pindah cuma ya kasihan sih jkt butuh bernapas hehe
196, yg penting mah sehat dah ya pada kalopun ibu kota pindah gedung yg tempat kerjaan ga mungkin di jual
197, klo ibu kota pindah gedung disini masih tetp pada beroperasi kan pasti yg kerja di jkt gimana
198,ahok tolak ibu kota pindah rakyat masih susah jangan lari dari masalah 
199,di tv one saat ini siaran ulang perlukan ibu kota pindah barang kali pada siaran ulang ini bisa tampak pintar gak kaya waktu live keliatan banget kosong otak nya yuuuk nonton acaranya bang 
200, eng ing eng siap siap nih banyak warga yang pindah palagi para pns siapa mau beli rumah rumah mewah di jakarta diobral buat dp rumah di ibu kota yang baru yu ah siap siap nabung buat beli rumah obral 
201, emang berat kalau mikir pakai dengkul pindah rumah tiap lima tahun aja berat minta ampun bawa semua barang ini ibu kota malah
202,bebas deh ibu kota mau pindah yang penting ibu kita tidak gundah 
203,skrg kita paham kan knpa ibu kota harus pindah krna salah satu nya ini gabenernya cuma bisa ngabisin anggaran tnpa tau manfaatnya 
204,mau pindah ibu kota jawab dulu pertanyaan ini bosku segera naik videonya udah lama nih gak subscribe ya di 
205,dicari dasar hukum pindah ibu kota ada uu no ttg dki jakarta sbg ibu kota negara dan juga uu no ttg pmrthn prov dki sbg ibu kota nkri dua uu ini harus dicabut dl bila ibu kota jd pindah 
206,mpr tunda pindah ibu kota tuntaskan dulu ekonomi dan papua 
207, iya daon betonn setuju donk klo ibu kota pindah 
208, jadi kalo begitu ibu kota ga usah di pindah ya pak karena hal itu bisa memakan biaya yg besar 
209, buat jokowi pindah ibu kota bukan gagah gagahan cnbc indonesia 
210,sekalian mau pindah ibu kota om 
211,ya memang itu lebih bijak dunia lagi gonjang ganjing ya sabarlah sampai naik peringkat jadi negara maju 
212,udah enak kalimantan jd paru dunia klo ibu kota pindah pada ditebangin ga ya 
213,sangat setuju apabila asn benar benar pensiun dini apabila ibu kota pindah ke kalimantan 
214,ketua mpr zulkifli hasan meminta pemindahan ibu kota dari jakarta ke kalimantan ditunda alasannya kata dia karena masih saat ini masih ada masalah yang lebih serius di papua lewat 
215,kalau ibu kota pindah ke kalimantan dki jakarta bukan daerah khusus ibukota lagi tapi jadi daerah kirain ibukota jakarta saya gres natali met malam 
216, sy gk ngerti politik cm mau tanya dampak nya pindah ibu kota apa apakah rakyat menginginkan ibu kota pindah apa kesejahteraan rakyat dari sabang smpe merauke bs sejahtera klo ibu kota pindah
217, apa baiknya memang ibu kota pindah saja 
218, yg punya akal sht pasti ngga setuju ibu kota di pindah lbh baik perbaiki dulu ekomomi yg carut marut 
219,pemindahan ibu kota ke wilayah itu dianggap hanya akan menyebabkan para pejabat publik tidak mengetahui realitas sesungguhnya dari kondisi indonesia 
220, kayak gini masih mikir pindah ibu kota ya tuhannn
221,tak hanya jakarta mengapa negara di dunia memutuskan pindah ibu kota 
222,termasuk banjir dan macet solusinya pindah ibu kota 
223, sekarang ngomong pindah ibu kota juga asal njeplak mengapa juta manusia nyari orang saja susah 
224, sdm unggul indonesia maju generasi milenial menyambut dengan antusias menggantikan pns yg mengajukan pensiun dini ibukota baru butuh pns baru suasana baru pikiran baru merubah cara lama 
225,ha ha pindah ibu kota akal buat nyari proyek aja tp yg satu ni harus 
226, rezim ini kerenn ibu kota fix pindah ke kalimantan lahan di bakar aja dlu ahaha
227, sdm unggul indonesia maju generasi milenial menyambut dengan antusias menggantikan pns yg mengajukan pensiun dini ibukota baru butuh pns baru suasana baru pikiran baru merubah cara lama 
228, nunggu ibu kota pindah semarang 
229, temanya pindah ibu kota bintang tamunya rg apa sihhh kontribusi rg untuk bangsa ini 
230,sdm unggul indonesia maju generasi milenial menyambut dengan antusias menggantikan pns yg mengajukan pensiun dini ibukota baru butuh pns baru suasana baru pikiran baru merubah cara lama 
231, keknya mereka bakal diajak pindah ke ibu kota baru nih
232,kalau menolak bisa dianggap terpapar kalau disetujui jebol anggaran negara buat bayar pesangon 
233, trus trang bosaan dngar berita dki jkt yg ga mutu lebih cepat lebih baek ibu kota pindah jkt malu in
234, hemat itu ditengah utang mencekik bersabar untuk tidak pindah ibu kota bukan malah memaksakan bener gak bro dan sis 
235, ibu kota kalo pindah kaltim yg kasihan amien rais jalan kaki dr ibu kota ke jogja jd semakin jauh 
236, kasihan mereka kek klo pindah ke ibu kota baru maka asn pns ers ini akan absen dalam event alumni monashh universiti n tidak bisa lagi support wan abud langsung wekwek
237,ketua mpr tak elok ribut pindah ibu kota sementara papua bergejolak 
238,asn pns ers nih yg mikirnya ga nyampe model begini justru klo pindah ke ibu kota baru bakal disediakan fasilitas lengkap berupa perkantoran perumahan perbelanjaan kesehatan ttansportasi hiburan etc sehingga bisa efektif n efisien dalam bekerja 
239,nyediain mobil jenazah aja ga bisa sok an pengen pindah ibu kota 
240,ketua mpr tak elok kita ribut pindah ibu kota sementara papua masih bergejolak 
241,mau ibu kota negara ikn pindah atau tetap di jkt atau mau punya ikn sampai silahkan saja yg ptg sanggup atau tidak mengongkosi dan memeliharanya 
242, tweet mu itu fahri ngakak gw baca a efek ibu kota pindah panik ampe gk bisa tidur lahan basa pindah tangan awas stroke bro 
243,hrs ada upaya kurangi beban demografi klimatologi transportasi kota jakarta kota besar lain di pulau jawa alternatifnya pindah ibu kota ke kalimantan yg akan kurangi asn k l ribu org jika dgn keluarga bisa jt org ini jumlah signifikan buat lega jakarta 
244, gk pa lah kalau gk dikasih panggung gk ketahuan gobloknya contoh kalimantan gk ada gempa trnyata kalimantan ada gempa data bmkg masalah pindah ibu kota ternyata junjungannya yg terhormat dipertuanagungkan jg g setuju biarlah mereka berkomedi 
245,menciptakan gagasan perpindahan negara tentu tidak semudah menciptakan gagasan mobil esemka jika gagasan mobil esemka dipertanyakan dianggap gagal bgmna dgn gagasan pindah ibu kota yah 
246, apa betul itu komentarnya pak udah dipikir belum pak kok pindah ibu kota biasa memang takut ya pak kalau di bongkar kasusnya jika ada jujur aja pak
247,setuju pak 
248,pindahnya ibu kota indonesia diramalkan bisa menyebabkan kenaikan harga terhadap tiga saham ini apa saja sahamnya dan bagaimana prospeknya simak yuk 
249,ibu kota katanya kan mau di pindah ke kalimantan apa ku migrasi ke kalimantan aja ya 
250,my random question this afternoon is kalau ibu kota pindah ke kalimantan siapa yg bisa jamin perusakan hutan ibu kota pasti butuh lahan yg luas dan pembangunan infrastruktur dgn kapasitas besar sementara hutan kalimantan katanya paru indonesia 
251,ibu kota pindah ke kalimantan ibu kita kapan besanan 
252,ganti bendera mungkin biayanya lebih kecil dari pada pindah ibu kota
253, mungkin ini imbasnya ibu kota pindah ke kalimantan mereka berlomba lomba membuka lahan dengan cara yang instan apakah bapak akan diam saja 
